,name,distance,mass,radius,Dwarf Star name,Dwarf Distance,solar mass,solar radius
61,Rho Cassiopeiae,"8,154",22,636-981,SDSS J074201.41+205520.5 [de],49.0,0.0102434271439299,0.0965972199999999
62,P Cygni,"5,545",30,76,DENIS-P J0751164-253043 [de],55.0,0.01129945056083,0.10584589
63,La Superba,"1,000",,129 - 342,2MASS J07522390+1612157,60.0,0.01077143885238,0.2065536299999999
64,VV Cephei,"4,900",18.2,"516 - 1,050",DENIS J081730.0-615520,16.1,0.0106658365106899,0.0965972199999999
65,61 Cygni,11.41,0.7,0.665,2MASS J08251968+2115521 [de],35.0,0.0190084215041999,0.1007077399999999
66,R Doradus,178,0.7 - 1.0,298,SDSSp J083008.12+482847.4 [de],43.0,0.01309469036956,0.1017353699999999
67,Polaris Australis,281,1.59,3.74,LHS 2021,55.0,0.0101378248022399,0.1181774499999999
68,R Coronae Borealis,"4,566",0.85,85,SDSS J083048.80+012831.1 [de],77.0,0.0232325151717999,0.0986524799999999
69,54 Piscium,36.1,0.76,0.94,2MASSI J0835425-081923 [de],23.53,0.0158403512534999,0.102763
70,Mira,300,1.2,370,2MASSI J0847287-153237 [de],43.0,0.0105602341689999,0.102763
71,RW Cephei,"14,000",13.9,"1,158",2MASS J08533619-0329321,27.6,0.0180580004289899,0.10995641
72,Lacaille 8760,12.87,0.6,0.51,2MASSI J0859254-194926 [de],50.0,0.0099266201188599,0.1007077399999999
73,V838 Monocerotis,"19,896",?,380 - 750,2MASSI J0937347+293142,20.0,0.0211204683379999,0.0965972199999999
74,HD 140283,190,?,1.4,2MASS 0939−2448,17.4,0.0103490294856199,0.0976248499999999
75,II Pegasi,130,0.8,3.4,2MASS J09490860-1545485 [de],59.0,0.0103490294856199,0.0986524799999999
76,VY Canis Majoris,"3,900",17,"1,420",2MASS J10073369-4555147,46.0,0.0103490294856199,0.0965972199999999
77,Pistol Star,"25,000",100,320,2MASSI J1010148-040649 [de],55.0,0.0106658365106899,0.1007077399999999
78,S Doradus,"1,69,000",24,380,2MASS J10224821+5825453 [de],60.0,0.0105602341689999,0.1448958299999999
79,UY Scuti,"5,100",7–10,755,2MASSW J1036530-344138 [de],53.0,0.0101378248022399,0.0996801099999999
80,Barnard's Star,5.98,0.14,0.2,2MASS J1047538+212423 [de],34.4,0.0104546318273099,0.0965972199999999
81,Luhman 16,6.52,0.04,?,DEN 1048-3956,13.15,0.0139395091030799,0.10995641
82,Proxima Centauri,4.25,0.12,0.15,Luhman 16B,6.516,0.0111938482191399,0.10481826
83,KIC 8462852,"1,470",1.43,1.58,Luhman 16A,6.516,0.0108770411940699,0.10379063
84,R136a1,"1,63,000",290,32,DENIS-P J1058.7−1548,49.0,0.0125666786611099,0.102763
85,Melnick 42,"1,63,000",189,21.1,TWA 28,180.0,0.0104546318273099,0.24560357
86,WR 102,"18,134",19,0.39,Cha 110913-773444,163.0,0.0158403512534999,0.1849733999999999
87,VFTS 352,"1,64,000",57.48,14.47,SDSS J111010.01+011613.1,63.0,0.01108824587745,0.12742612
88,YBP 1194,"2,772",1.01,0.99,2MASS J11145133−2618235,18.2,0.0099266201188599,0.0986524799999999
89,Gliese 1214,47.5,0.16,0.21,TWA 26,137.0,0.0099266201188599,0.2260786
90,NML Cygni,"5,251",50,"1,640 - 2,770",2MASS J11544223-3400390 [de],129.0,0.0104546318273099,0.1541445
91,VB 10,18.72,0.075,0.1,2MASSW J1155395-372735 [de],31.0,0.01140505290252,0.102763
92,WOH G64,"1,63,000",<20,"1,540 - 1,730",2MASS J12074836-3900043,217.0,0.0105602341689999,0.17572473
93,TRAPPIST-1,39.6,0.089,0.12,2MASSI J1217110-031113 [de],36.0,0.0099266201188599,0.0965972199999999
94,2MASS J0523-1403,40.3,0.07,0.086,2M 1237+6526,45.6,0.0099266201188599,0.0965972199999999
95,WISE 0855−0714,7.27,0.003,?,TWA 29,262.0,0.0108770411940699,0.205526
96,Icarus,"14,40,00,00,000",33,?,SDSSp J125453.90-012247.4 [de],38.0,0.0102434271439299,0.1007077399999999
